211,mAmyg,Amyg_L_2_1,0,0,,,,,,,
212,mAmyg,Amyg_R_2_1,0,0,,,,,,,
213,lAmyg,Amyg_L_2_2,0,0,,,,,,,
214,lAmyg,Amyg_R_2_2,0,0,,,,,,,
215,rHipp,Hipp_L_2_1,0,0,,,,,,,
216,rHipp,Hipp_R_2_1,0,0,,,,,,,
217,cHipp,Hipp_L_2_2,0,0,,,,,,,
218,cHipp,Hipp_R_2_2,0,0,,,,,,,
219,vCa,BG_L_6_1,0,0,,,,,,,
220,vCa,BG_R_6_1,0,0,,,,,,,
221,GP,BG_L_6_2,0,0,,,,,,,
222,GP,BG_R_6_2,0,0,,,,,,,
223,NAC,BG_L_6_3,0,0,,,,,,,
224,NAC,BG_R_6_3,0,0,,,,,,,
225,vmPu,BG_L_6_4,0,0,,,,,,,
226,vmPu,BG_R_6_4,0,0,,,,,,,
227,dCa,BG_L_6_5,0,0,,,,,,,
228,dCa,BG_R_6_5,0,0,,,,,,,
229,dlPu,BG_L_6_6,0,0,,,,,,,
230,dlPu,BG_R_6_6,0,0,,,,,,,
231,mPFtha,Tha_L_8_1,0,0,,,,,,,
232,mPFtha,Tha_R_8_1,0,0,,,,,,,
233,mPMtha,Tha_L_8_2,0,0,,,,,,,
234,mPMtha,Tha_R_8_2,0,0,,,,,,,
235,Stha,Tha_L_8_3,0,0,,,,,,,
236,Stha,Tha_R_8_3,0,0,,,,,,,
237,rTtha,Tha_L_8_4,0,0,,,,,,,
238,rTtha,Tha_R_8_4,0,0,,,,,,,
239,PPtha,Tha_L_8_5,0,0,,,,,,,
240,PPtha,Tha_R_8_5,0,0,,,,,,,
241,Otha,Tha_L_8_6,0,0,,,,,,,
242,Otha,Tha_R_8_6,0,0,,,,,,,
243,cTtha,Tha_L_8_7,0,0,,,,,,,
244,cTtha,Tha_R_8_7,0,0,,,,,,,
245,lPFtha,Tha_L_8_8,0,0,,,,,,,
246,lPFtha,Tha_R_8_8,0,0,,,,,,,
